Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,90,1 Year Warranty on Product,"₹48,500",45,"₹26,490"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,823.18 W,111 - 150,1 Year Warranty on Product,"₹80,500",43,"₹45,340"
Lloyd 1,,['1 Ton'],5 Star,Star Split Inverter,4,476 kWh,90,1 Year Warranty on Product,"₹48,990",34,"₹32,010"
Blue Star,2023,['0.9 Ton'],3 Star,Star Split Inverter,4,644.46 Units,90,5 years comprehensive warranty on product,"₹45,000",34,"₹29,390"
Samsung 2025,2025,['2 Ton'],3 Star,Star Split Inverter,4,2000 Units,151 - 200,5 Years Warranty on Whole Product,"₹89,490",48,"₹45,880"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,90,1 Year Warranty on Product,"₹54,700",43,"₹30,990"
Blue Star,2023,['1 Ton'],4 Star,Star Split Inverter,4.2,565.65 Units,90,1 Year Comprehensive Warranty on AC,"₹59,000",50,"₹29,455"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Window with,4,1216.12 Units,111 - 150,(1 Year Standard,"₹41,900",37,"₹26,220"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,789.6 Units,111 - 150,5 Years Warranty on Whole Product,"₹63,500",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,951.91 Units,111 - 150,1 Year Warranty on Product,"₹42,300",33,"₹27,990"
Voltas 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4.1,672.93 Units,90,,"₹56,990",49,"₹28,540"
