Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1389.92 Units,111 - 150,5 Years Warranty on Whole Product,"₹60,991",48,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,151 - 200,1 Year Comprehensive Warranty on Product,"₹57,400",34,"₹32,800"
Haier 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4,685.62 Units,151 - 200,1 Year Warranty on Product,"₹48,500",50,"₹38,990"
Voltas 1,,['1.5 Ton'],3 Star,Star Window AC,4.2,752.39 W,111 - 150,1 Year Comprehensive Warranty on Product,"₹68,900",36,"₹26,720"
Godrej 2024,2024,['1.7 Ton'],3 Star,Star Split Inverter,4.4,669.16 Units,90,1 Year Warranty on Product,"₹55,400",33,"₹32,979"
TCL 2,,['2 Ton'],3 Star,Star Split Inverter,3.6,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",7,"₹56,490"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,951.91 Units,90,1 Year on Product,"₹42,300",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,1072.14 Units,111 - 150,1 Year Warranty on Product,"₹54,990",45,"₹26,490"
Lloyd 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,516.33 Units,111 - 150,,"₹59,700",45,"₹37,850"
Hitachi 2023,2023,['1 Ton'],3 Star,Star Split Inverter,4,1490 Units,111 - 150,(1 Year Standard,"₹52,990",36,"₹35,110"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1012.62 Units,90,1 Year on Product,"₹63,100",34,"₹26,690"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,536.2 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹54,700",33,"₹27,990"
Lloyd 1,,['1.5 Ton'],5 Star,Star Window AC,4.1,657.31 Units,111 - 150,1 Year Warranty on Product,"₹48,849",38,"₹34,000"
Panasonic 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,975.26 Units,90,1 year warranty on whole product,"₹47,990",28,"₹42,390"
Lloyd 1,,['1.5 Ton'],3 Star,Star Split AC,4.1,541.48 Units,90,1 Year Warranty on Product,"₹69,000",35,"₹34,330"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,789.6 Units,111 - 150,(1 Year Standard,"₹63,500",42,"₹35,990"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,946.17 Units,90,(1 Year Standard,"₹57,146",43,"₹30,990"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1024.34 Units,111 - 150,1 Year Warranty on Product,"₹64,500",46,"₹25,990"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1409.41 Units,111 - 150,1 Year Warranty on Product,"₹80,400",38,"₹29,550"
Haier 2024,2024,['1 Ton'],5 Star,Star Split Dual,3.9,1111.64 W,111 - 150,5 Years Warranty on Whole Product,"₹60,999",50,"₹34,039"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,983.12 Units,151 - 200,(1 Year Standard,"₹34,590",46,"₹33,990"
IFB 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,1 Year Warranty on Product,"₹57,400",47,"₹29,990"
Hitachi 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,685.62 Units,91 - 110,1 Year Warranty on Product,"₹48,500",41,"₹37,737"
Hitachi 2,,['2 Ton'],3 Star,Star Split Inverter,4,4750 W,111 - 150,1 Year Warranty on Product,"₹42,990",33,"₹53,099"
Godrej 5,2025,['1.5 Ton'],5 Star,Star Window Inverter,4,1005.73 Units,90,1 Year Comprehensive Warranty on Product,"₹50,600",45,"₹33,490"
General 1,,['1.2 Ton'],3 Star,Star Window AC,4.5,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",16,"₹29,022"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹54,700",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,840.2 Units,111 - 150,,"₹55,900",45,"₹26,490"
Voltas 2024,2024,['1.5 Ton'],3 Star,Star Window AC,4.2,774.19 Units,90,1 Year Comprehensive Warranty on Product,"₹67,100",36,"₹27,499"
IFB FastCool,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.2,740.59 Units,111 - 150,,"₹56,000",33,"₹33,850"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,813.13 Units,111 - 150,1 Year on Product,"₹66,990",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,90,1 Year Comprehensive Warranty on Product,"₹63,500",43,"₹30,990"
Godrej 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,951.91 Units,111 - 150,1 Year on Product,"₹42,300",38,"₹34,350"
Panasonic 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.3,846.85 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹65,600",28,"₹47,920"
Voltas 1,,['1 Ton'],3 Star,Star Split Inverter,4.1,1024.34 Units,111 - 150,1 year Warranty on Product,"₹64,500",45,"₹30,530"
Hitachi 2023,2023,['1.5 Ton'],5 Star,Star Split Inverter,4,751.28 Units,111 - 150,,"₹75,990",36,"₹42,771"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,657.31 Units,111 - 150,5 years comprehensive warranty on product,"₹48,849",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,709.86 Units,111 - 150,1 Year Warranty on Product,"₹41,990",33,"₹27,990"
Panasonic 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1006.54 Units,90,1 Year Warranty on Product,"₹45,900",33,"₹43,950"
Hitachi 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,966.47 Units,90,(1 Year Standard,"₹59,081",41,"₹37,737"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,940.7 W,111 - 150,,"₹58,100",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,511.13 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹63,990",46,"₹25,990"
Lloyd 2023,2023,['1 Ton'],3 Star,Star Split AC,4,852.47 Units,111 - 150,1 Year Warranty on Product,"₹72,790",30,"₹29,270"
Godrej 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4,975.26 Units,90,1 Year Comprehensive Warranty on AC,"₹47,990",35,"₹29,567"
Daikin 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,751.65 Units,111 - 150,5 Years Warranty on Whole Product,"₹67,990",44,"₹33,082"
Daikin 1,,['1.4 Ton'],3 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,(1 Year Standard,"₹57,400",41,"₹33,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.1,536.2 Units,111 - 150,5 Years Warranty on Whole Product,"₹61,300",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1120 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹37,590",53,"₹33,991"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1046.29 Units,90,,"₹43,900",38,"₹29,550"
Lloyd Stylus,2025,['1.5 Ton'],5 Star,Star Split Inverter,3.8,587.66 Units,90,(1 Year Standard,"₹50,000",36,"₹42,880"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,965.71 Units,111 - 150,(1 Year Standard,"₹45,400",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,685.62 Units,90,1 Year Warranty on Product,"₹48,500",47,"₹31,990"
CARRIER 1,,['1 Ton'],3 Star,Star Window AC,4.2,905.88 Units,111 - 150,1 Year Warranty on Product,"₹40,450",33,"₹24,950"
Godrej 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,1170.01 Units,90,1 Year Warranty on Product,"₹76,900",32,"₹29,599"
Lloyd 1,,['1 Ton'],5 Star,Star Split Inverter,4,1084.82 Units,111 - 150,1 Year Comprehensive Warranty on AC,"₹86,900",36,"₹31,999"
Godrej 5,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,536.2 Units,151 - 200,5 Years Warranty on Whole Product,"₹54,700",34,"₹29,599"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,789.6 Units,151 - 200,,"₹63,500",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,758.52 Units,90,1 Year Warranty on Product,"₹74,100",34,"₹26,690"
Panasonic Convertible,2023,['2 Ton'],3 Star,Star Split Inverter,4.2,758.52 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹75,350",24,"₹57,990"
Hitachi 1,,['1.8 Ton'],4 Star,Star Split Inverter,3.1,750.39 kWh,111 - 150,1 Year on Product,"₹68,990",34,"₹56,499"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,1453.77 Units,111 - 150,,"₹70,530",43,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,951.91 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹42,300",46,"₹33,990"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,751.28 Units,111 - 150,1 Year Warranty on Product,"₹75,990",45,"₹40,740"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,794 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹70,500",46,"₹40,610"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1012.53 Units,111 - 150,,"₹62,990",46,"₹36,970"
General 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,657.31 Units,111 - 150,(1 Year Standard,"₹48,849",12,"₹61,996"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,511.13 Units,111 - 150,(1 Year Standard,"₹63,990",33,"₹27,990"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,744.69 Units,90,1 Year Comprehensive Warranty on Product,"₹50,000",51,"₹36,970"
General 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,813.13 Units,90,1 Year Warranty on Product,"₹75,400",9,"₹63,989"
Lloyd 2023,2023,['1.5 Ton'],3 Star,Star Split AC,4.1,895.23 Units,90,5 Years Warranty on Whole Product,"₹70,500",47,"₹32,800"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,823.18 Units,111 - 150,5 Years Warranty on Whole Product,"₹76,600",46,"₹25,990"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,952.68 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹57,400",48,"₹32,800"
Lloyd 2023,2023,['1 Ton'],2 Star,Star Split AC,4.1,685.62 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹48,500",40,"₹29,874"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,1540 Units,111 - 150,1 Year Warranty on Product,"₹70,500",41,"₹43,850"
Lloyd 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,836.95 Units,90,1 Year Comprehensive Warranty on Product,"₹82,000",46,"₹37,650"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,905.88 Units,111 - 150,(1 Year Standard,"₹40,450",42,"₹44,350"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,951.91 Units,151 - 200,1 Year on Product,"₹42,300",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,694.49 Units,111 - 150,1 Year On Product,"₹61,490",45,"₹26,490"
Hitachi 1,,['1.5 Ton'],5 Star,Star Split Inverter,4,789.6 W,111 - 150,1 Year Warranty on Product,"₹70,500",37,"₹43,974"
Haier 2024,2024,['1.6 Ton'],5 Star,Star Split Inverter,4.2,908.9 kWh,90,(1 Year Standard,"₹87,900",49,"₹41,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1020.54 Units,111 - 150,1 Year on Product,"₹67,490",34,"₹26,690"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,536.2 Units,151 - 200,1 Year Comprehensive Warranty on Product,"₹54,700",33,"₹27,990"
Haier Frost,2023,['1 Ton'],3 Star,Star Split Inverter,4.1,657.31 Units,111 - 150,1 Year Warranty on Product,"₹48,849",50,"₹30,560"
CARRIER HD,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1000.34 Units,90,1 Year Warranty on Product,"₹62,990",42,"₹40,850"
Panasonic 2,,['2 Ton'],5 Star,Star Split Inverter,4.4,1170.64 kWh,90,1 Year Warranty on Product,"₹80,500",28,"₹62,989"
Haier Frost,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,789.6 Units,111 - 150,,"₹63,500",50,"₹33,650"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,946.17 Units,151 - 200,,"₹57,146",43,"₹30,990"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1052.15 Units,111 - 150,,"₹61,999",46,"₹25,990"
InnoQ 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,975.26 Units,111 - 150,1 Year Standard Warranty on Product,"₹62,990",58,"₹25,990"
Panasonic 2,,['2 Ton'],3 Star,Star Split Inverter,4.2,1052.15 Units,111 - 150,(1 Year Standard,"₹61,990",33,"₹53,450"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1012.62 Units,111 - 150,(1 Year Standard,"₹65,200",46,"₹33,990"
IFB 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,,"₹75,990",47,"₹29,990"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,536.2 Units,111 - 150,1 Year Warranty on Product,"₹61,300",46,"₹32,950"
Voltas 2023,2023,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1280 W,111 - 150,1 Year on Product,"₹49,699",47,"₹32,850"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1145.22 Units,90,1 Year Comprehensive Warranty on Product,"₹83,990",47,"₹32,850"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split Inverter,4,952.68 Units,111 - 150,5 Years Warranty on Whole Product,"₹57,400",40,"₹38,719"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,685.62 Units,151 - 200,(1 Year Standard,"₹48,500",51,"₹36,970"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,836.95 kWh,111 - 150,1 Year Warranty on Product,"₹80,100",47,"₹31,990"
Acerpure 1,,['1.5 Ton'],5 Star,Star Split Inverter,3.2,759.07 Units,90,1 Year Warranty on Product,"₹77,990",41,"₹29,299"
Samsung 2024,2024,['2 Ton'],3 Star,Star Split Inverter,4,1703.04 Units,151 - 200,(1 Year Standard,"₹50,600",39,"₹50,990"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,759.07 Units,111 - 150,5 Years Warranty on Whole Product,"₹75,990",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,905.88 Units,111 - 150,1 Year Warranty on Product,"₹40,450",45,"₹26,490"
Haier 1,,['1.6 Ton'],5 Star,Star Split Inverter,4.2,536.2 Units,111 - 150,1 Year Warranty on Product,"₹54,700",40,"₹47,890"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,667.91 kWh,111 - 150,1 Year Comprehensive Warranty on AC,"₹49,600",50,"₹38,599"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split AC,4,744.99 Units,90,1 Year on Product,"₹91,990",26,"₹37,150"
Voltas 1,,['1.5 Ton'],5 Star,Star Split AC,4.2,789.6 Units,90,,"₹63,500",51,"₹37,188"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,951.91 Units,111 - 150,1 Year on Product,"₹42,300",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,921 Units,111 - 150, 1 Year Standard,"₹32,990",43,"₹30,990"
Panasonic 1,,['1 Ton'],3 Star,Star Split Inverter,4.2,584.46 Units,111 - 150,1 Year on Product,"₹48,000",40,"₹29,290"
LG AI,2023,['1.5 Ton'],5 Star,Star Split Dual,4.2,1161.78 Units,90,,"₹72,900",42,"₹52,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,1103.32 Units,90,5 years comprehensive warranty on product,"₹50,600",46,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,751.28 Units,151 - 200,1 Year Warranty on Product,"₹75,990",33,"₹27,990"
Hitachi 1,,['1 Ton'],3 Star,Star Window AC,4.3,657.31 Units,111 - 150,1 Year Warranty on Product,"₹48,849",21,"₹25,749"
Godrej 1,,['1 Ton'],5 Star,Star Split Dual,4,1900 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹63,490",37,"₹29,990"
Daikin 1,,['1.8 Ton'],4 Star,Star Split Inverter,4.1,0 Units,90,1 Year on Product,"₹50,600",12,"₹63,901"
Whirlpool 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,511.13 Units,111 - 150,(1 Year Standard,"₹63,990",31,"₹34,540"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,852.47 Units,111 - 150,(1 Year Standard,"₹72,790",51,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,1383.08 W,90,1 Year on Product,"₹65,990",46,"₹25,990"
Samsung 2024,2024,['1.5 Ton'],3 Star,Star Split Inverter,4.1,989.31 Units,111 - 150,1 Year Comprehensive Warranty on Product,"₹53,400",43,"₹35,750"
Whirlpool 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.1,1114.71 Units,151 - 200,5 Years Warranty on Whole Product,"₹80,500",30,"₹34,980"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,4.2,818.81 Units,111 - 150,(1 Year Standard,"₹57,400",48,"₹32,800"
Samsung 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.1,952.68 Units,111 - 150,1 Year Warranty on Product,"₹48,500",53,"₹33,991"
General 2,,['2 Ton'],3 Star,Star Split Inverter,3.4,685.62 Units,111 - 150,1 Year Warranty on Product,"₹50,000",9,"₹59,820"
Panasonic 2024,2024,['1.5 Ton'],3 Star,Star Split AC,4.2,1590 Units,111 - 150,1 Year on Product,"₹63,000",7,"₹49,335"
Lloyd 2023,2023,['1.5 Ton'],2 Star,Star Split AC,4.2,1250.18 Units,90,1 Year on Product,"₹40,450",46,"₹59,990"
LG 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,905.88 Units,111 - 150,(1 Year Standard,"₹54,700",51,"₹43,450"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,536.2 Units,151 - 200,5 Years Warranty on Whole Product,"₹78,500",45,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,685.26 Units,111 - 150,1 Year Warranty on Product,"₹67,500",30,"₹26,490"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,1220.59 Units,90,,"₹50,000",23,"₹34,990"
Blue Star,,['2 Ton'],3 Star,Star Split AC,4,774.19 Units,111 - 150,1 Year on Product,"₹63,500",34,"₹48,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,483 Units,111 - 150,1 Year Warranty on Product,"₹42,300",43,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,1 Year for Product,"₹70,500",58,"₹30,990"
LG AI,2023,['1.5 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,90,1 Year Comprehensive Warranty on Product,"₹40,500",36,"₹84,999"
Voltas 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,783.33 Units,111 - 150,2 Years Comprehensive Warranty on product,"₹75,990",18,"₹32,650"
Panasonic 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.3,652.12 Units,111 - 150,(1 Year Standard,"₹48,849",46,"₹42,850"
Daikin 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,751.28 Units,111 - 150,(1 Year Standard,"₹44,990",33,"₹40,945"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,657.31 Units,90,1 Year Comprehensive Warranty on Product,"₹50,600",41,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4,947.77 W,111 - 150,1 Year Warranty on Product,"₹90,500",25,"₹27,990"
Blue Star,,['1.5 Ton'],5 Star,Star Split Inverter,4.2,0 Units,90,5 Years Warranty on Whole Product,"₹71,999",51,"₹40,900"
Whirlpool 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.1,1096.51 Units,111 - 150,(1 Year Standard,"₹57,400",46,"₹30,104"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4.2,1248.28 Units,111 - 150,,"₹48,500",36,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4,952.68 Units,151 - 200,1 Year Warranty on Product,"₹50,000",24,"₹25,990"
BPL 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.7,685.62 Units,151 - 200,1 Year on Product,"₹28,990",36,"₹28,360"
Voltas 1,,['1.5 Ton'],5 Star,Star Split AC,4.2,1315.98 kWh,111 - 150,1 Year Warranty on Product,"₹40,450",36,"₹38,350"
Hitachi 1,,['1.8 Ton'],4 Star,Star Split AC,3.1,921 Units,90,(1 Year Standard,"₹54,700",34,"₹57,350"
DECKER 2024,2024,['2 Ton'],3 Star,Star Split Inverter,3.8,905.88 Units,111 - 150,5 Years Warranty on Whole Product,"₹39,990",51,"₹45,999"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,536.2 Units,90,,"₹75,400",51,"₹27,990"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,3100 W,111 - 150,1 Year on Product,"₹48,000",45,"₹26,490"
General 1,,['1.5 Ton'],3 Star,Star Window AC,4,752.43 Units,90,,"₹63,500",18,"₹40,969"
Hitachi 2023,2023,['1 Ton'],2 Star,Star Window AC,3.8,892.32 Units,90,1 Year on Product,"₹42,300",15,"₹24,540"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,4.2,1435.97 Units,90,1 Year Warranty on Product,"₹45,000",34,"₹26,690"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,111 - 150,,"₹83,990",43,"₹30,990"
Voltas 2024,2024,['1 Ton'],3 Star,Star Window AC,4.1,951.91 Units,151 - 200,1 Year Warranty on Complete Product,"₹75,990",35,"₹25,890"
Haier 1,,['1 Ton'],3 Star,Star Split AC,4.2,1206.06 kWh,111 - 150,1 Year on Product,"₹48,849",49,"₹54,491"
Voltas 1,,['1.5 Ton'],5 Star,Star Split Inverter,3.8,923.07 Units,111 - 150,,"₹57,980",27,"₹37,950"
Blue Star,2024,['2 Ton'],3 Star,Star Window AC,4.3,751.28 Units,111 - 150,1 Year Warranty on Product,"₹45,260",46,"₹34,939"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4,657.31 Units,151 - 200,1 Year Warranty on Product,"₹50,900",33,"₹33,990"
Godrej 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,1000.34 Units,111 - 150,(1 Year Standard,"₹74,600",36,"₹27,990"
CARRIER 1,,['1.5 Ton'],3 Star,Star Window AC,4,1315.98 kWh,90,,"₹63,990",25,"₹28,590"
Daikin 1,,['1.8 Ton'],5 Star,Star Split Inverter,4.2,1157.29 Units,111 - 150,1 Year Warranty on Product,"₹42,500",51,"₹62,479"
Voltas 2024,2024,['1.5 Ton'],5 Star,Star Split Inverter,4,928 Units,111 - 150,1 Year on Product,"₹59,990",46,"₹36,970"
IFB 2025,2025,['1 Ton'],3 Star,Star Split Inverter,3.8,511.13 Units,111 - 150,1 Year Warranty on Product,"₹42,900",46,"₹25,990"
Frigidaire convertible,2023,['1.5 Ton'],3 Star,Star Split Inverter,4,544.39 Units,90,,"₹57,400",17,"₹30,999"
General 1,,['1.5 Ton'],3 Star,Star Window AC,4.2,752.71 Units,90,(1 Year Standard,"₹61,300",27,"₹37,499"
Hitachi 1,,['1.5 Ton'],3 Star,Star Split AC,4.2,952.68 Units,111 - 150,5 Years Warranty on Whole Product,"₹57,460",9,"₹36,985"
Daikin 2,,['2.2 Ton'],4 Star,Star Split Inverter,4.2,536.2 Units,90,1 Year Warranty on Product,"₹75,400",48,"₹67,699"
Voltas 2024,2024,['1 Ton'],5 Star,Star Split Inverter,3.5,867.16 Units,111 - 150,1 Year on Product,"₹70,500",40,"₹32,800"
Blue Star,2024,['0.8 Ton'],3 Star,Star Split Inverter,4,921 Units,90,(1 Year Standard,"₹54,600",16,"₹25,490"
General 1,,['1.5 Ton'],3 Star,Star Split Inverter,3.8,818.81 Units,111 - 150,(1 Year Standard,"₹48,500",37,"₹50,376"
Godrej 1,,['1 Ton'],3 Star,Star Split Inverter,5,523.15 Units,111 - 150,1 Year Warranty on Product,"₹40,450",34,"₹26,999"
Midea 2025,2025,['1.5 Ton'],3 Star,Star Split Inverter,4.3,685.62 Units,111 - 150,,"₹58,999",51,"₹27,990"
CARRIER 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.1,905.88 Units,90,1 Year Warranty on Product,"₹58,199",47,"₹31,990"
IFB 1,,['1.5 Ton'],5 Star,Star Split Inverter,4.1,600.91 Units,90,1 Year Warranty on Product,"₹54,700",33,"₹37,950"
LG 1,,['1.5 Ton'],5 Star,Star Split Dual,4.2,694.06 Units,111 - 150,5 Years Warranty on Whole Product,"₹63,500",42,"₹43,540"
LG 1,,['1.5 Ton'],5 Star,Star Split Dual,4.2,536.2 Units,90,,"₹63,900",37,"₹43,850"
Hitachi 1,,['1 Ton'],5 Star,Star Split Inverter,4.2,789.6 Units,90,1 Year Comprehensive Warranty on Product,"₹55,600",24,"₹41,322"
Midea 2025,2025,['1 Ton'],3 Star,Star Split Inverter,4.3,987.11 W,90,1 Year Comprehensive Warranty on Product,"₹49,990",45,"₹26,490"
Godrej 2025,2025,['1.4 Ton'],3 Star,Star Split Inverter,3.8,1088.64 Units,111 - 150,1 Year on Product,"₹85,000",34,"₹26,690"
Blue Star,,['1 Ton'],5 Star,Star Split Inverter,4.1,1069.33 W,111 - 150,,"₹42,300",34,"₹38,650"
CARRIER 2024,2024,['1 Ton'],3 Star,Star Split Inverter,4.2,935.89 Units,111 - 150,1 Year Warranty on Product,"₹75,990",50,"₹28,519"
Midea 2025,2025,['1 Ton'],5 Star,Star Split Inverter,4.2,951.91 Units,111 - 150,1 Year Warranty on Product,"₹50,990",43,"₹30,990"
Midea 2025,2025,['1.5 Ton'],5 Star,Star Split Inverter,4.3,751.28 Units,151 - 200,5 Years Warranty on Whole Product,"₹49,990",46,"₹33,990"
Panasonic 1,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,698.49 Units,111 - 150,,"₹48,849",41,"₹37,420"
IFB 7,,['1.5 Ton'],3 Star,Star Split Inverter,4.2,700.06 Units,111 - 150,(1 Year Standard,"₹63,990",39,"₹33,850"
