,Brand,Model_Year,Capacity,Star_Rating,Inverter_Type,Rating,Annual_Power,Room_size,Warranty,Original_Price,Dicount_Pct,Price_After_Discount
248,Panasonic,2023,1.0,5,Star Split Inverter,4.2,1111.14,90,1,42500,49,32490
249,Daikin,2025,1.0,3,Star Split AC,4.1,544.39,90,1,63990,41,26975
250,IFB,2025,1.5,3,Star Split Inverter,4.2,511.13,111 - 150,1,64400,47,29990
251,Midea,2025,1.5,3,Star Split Inverter,4.3,531.41,111 - 150,1,46000,51,27990
252,Blue Star,2025,1.5,5,Star Split Inverter,4.2,656.44,111 - 150,1,57146,46,39850
253,Blue Star,2025,1.0,3,Star Split Inverter,4.1,946.17,90,1,57400,40,30350
254,Daikin,2025,1.5,3,Star Split AC,4.2,952.68,111 - 150,1,74500,32,37690
255,Daikin,2025,1.5,3,Star Split AC,4.2,783.33,111 - 150,1,50700,29,39000
256,Voltas,2024,1.0,3,Star Split Inverter,4.1,877.4391134020618,90,1,55600,52,26999
257,Samsung,2025,1.5,5,Star Split Inverter,4.3,684.94,111 - 150,5,55600,48,40990
258,Hitachi,2025,1.5,3,Star Split Inverter,4.0,989.31,111 - 150,1,56390,36,33490
259,Samsung,2024,1.5,5,Star Split Inverter,4.3,1099.44,111 - 150,1,79190,49,36900
260,Blue Star,2025,1.5,5,Star Split Inverter,4.2,672.93,111 - 150,1,53050,40,40990
261,Voltas,2025,2.0,3,Star Split Inverter,4.1,751.24,151 - 200,1,72990,38,48999
262,realme TechLife,2023,1.2,4,Star Split Inverter,4.3,1013.01,91 - 110,1,69100,45,27990
263,Thomson,2023,1.0,2,Star Split With,4.0,749.48,90,1,79990,6,34490
264,Haier,2025,1.5,3,Star Split Dual,4.0,783.33,111 - 150,5,50999,50,32499
265,Hitachi,2025,1.5,5,Star Split Inverter,4.0,877.4391134020618,111 - 150,1,36998,45,39590
266,Voltas,2024,1.5,5,Star Split Inverter,4.2,1220.59,111 - 150,1,66000,51,36970
267,Blue Star,2024,0.8,3,Star Split Inverter,4.2,1230.0,90,1,72900,40,25490
268,Blue Star,2025,1.0,5,Star Split Inverter,4.1,732.3,90,1,75990,38,37150
269,Daikin,2025,1.5,5,Star Split Inverter,4.2,1029.15,111 - 150,1,42500,34,44230
270,Voltas,2024,1.0,5,Star Split Inverter,4.2,758.52,90,1,60500,48,32800
271,Samsung,2025,1.5,3,Star Split Inverter,4.1,751.28,111 - 150,5,67200,53,33991
